,player0_x,player0_y,player0_z,player0_pitch,player0_yaw,player0_hp,player0_flash_dur,player0_has_helm,player0_has_armor,player0_has_defuse,player0_primary,player0_secondary,player0_grenades,player1_x,player1_y,player1_z,player1_pitch,player1_yaw,player1_hp,player1_flash_dur,player1_has_helm,player1_has_armor,player1_has_defuse,player1_primary,player1_secondary,player1_grenades,player2_x,player2_y,player2_z,player2_pitch,player2_yaw,player2_hp,player2_flash_dur,player2_has_helm,player2_has_armor,player2_has_defuse,player2_primary,player2_secondary,player2_grenades,player3_x,player3_y,player3_z,player3_pitch,player3_yaw,player3_hp,player3_flash_dur,player3_has_helm,player3_has_armor,player3_has_defuse,player3_primary,player3_secondary,player3_grenades,player4_x,player4_y,player4_z,player4_pitch,player4_yaw,player4_hp,player4_flash_dur,player4_has_helm,player4_has_armor,player4_has_defuse,player4_primary,player4_secondary,player4_grenades,player5_x,player5_y,player5_z,player5_pitch,player5_yaw,player5_hp,player5_flash_dur,player5_has_helm,player5_has_armor,player5_has_defuse,player5_primary,player5_secondary,player5_grenades,player6_x,player6_y,player6_z,player6_pitch,player6_yaw,player6_hp,player6_flash_dur,player6_has_helm,player6_has_armor,player6_has_defuse,player6_primary,player6_secondary,player6_grenades,player7_x,player7_y,player7_z,player7_pitch,player7_yaw,player7_hp,player7_flash_dur,player7_has_helm,player7_has_armor,player7_has_defuse,player7_primary,player7_secondary,player7_grenades,player8_x,player8_y,player8_z,player8_pitch,player8_yaw,player8_hp,player8_flash_dur,player8_has_helm,player8_has_armor,player8_has_defuse,player8_primary,player8_secondary,player8_grenades,player9_x,player9_y,player9_z,player9_pitch,player9_yaw,player9_hp,player9_flash_dur,player9_has_helm,player9_has_armor,player9_has_defuse,player9_primary,player9_secondary,player9_grenades,winner,reason,bomb_plant
1061,-351.985,-191.0614,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1388.8251,449.61356,0.031251907,18.31215,119.97449,100,0,0,1,0,,2.0,1,1663.6926,1832.5171,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.247986,-167.35095,100,0,0,0,0,,1,2,-350.79163,-341.5138,0.2591257,-2.012909,63.170013,100,0,0,1,0,,2.0,0,-1028.7374,283.32587,-22.96875,27.664948,23.810806,100,0,0,0,0,,1.0,0,-987.208,834.2426,7.863981,0.811615,-140.15704,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.13562,125.32825,100,0,0,0,0,,2.0,1,822.647,-64.70996,-100.82251,0.9901428,171.18414,100,0,0,1,0,,2.0,0,,,
1062,-352.35974,-191.41754,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1387.6312,448.89468,0.031251907,18.31215,119.90753,100,0,0,1,0,,2.0,1,1663.0635,1832.6415,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.247986,-167.35095,100,0,0,0,0,,1,2,-350.79163,-341.5138,0.2591257,-2.012909,63.170013,100,0,0,1,0,,2.0,0,-1026.797,283.20242,-22.96875,27.88501,24.278412,100,0,0,0,0,,1.0,0,-988.9784,834.95557,7.378125,0.43566895,-142.49371,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.13562,125.32825,100,0,0,0,0,,2.0,1,824.34174,-64.88025,-100.70892,0.9901428,171.18414,100,0,0,1,0,,2.0,0,,,
1063,-352.50195,-191.55249,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1386.357,448.13156,0.031251907,18.31215,119.90753,100,0,0,1,0,,2.0,1,1662.7062,1832.7173,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.247986,-167.35095,100,0,0,0,0,,1,2,-350.77747,-341.52094,0.2591257,-2.012909,63.20331,100,0,0,1,0,,2.0,0,-1024.8549,283.02792,-22.96875,28.132553,24.333344,100,0,0,0,0,,1.0,0,-990.70844,835.7513,6.9488482,0.17819214,-143.6023,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.13562,125.32825,100,0,0,0,0,,2.0,1,825.8681,-65.03345,-100.60681,0.9901428,171.18414,100,0,0,1,0,,2.0,0,,,
1064,-352.3485,-191.4065,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1385.361,447.531,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.5403,1832.7574,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.247986,-167.35095,100,0,0,0,0,,1,2,-350.67395,-341.57324,0.2591312,-2.012909,63.269226,100,0,0,1,0,,2.0,0,-1022.9174,282.8068,-22.96875,28.325165,24.22348,100,0,0,0,0,,1.0,0,-992.4011,836.62317,6.571725,0.079315186,-143.82031,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.13562,125.32825,100,0,0,0,0,,2.0,1,827.2707,-65.17407,-100.51306,0.9901428,171.224,100,0,0,1,0,,2.0,0,,,
1065,-351.9944,-191.06964,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1384.8339,447.20352,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.4608,1832.7767,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.247986,-167.35095,100,0,0,0,0,,1,2,-350.55652,-341.63232,0.25913525,-2.012909,63.302185,100,0,0,1,0,,2.0,0,-1020.9854,282.54272,-22.96875,28.517426,24.003418,100,0,0,0,0,,1.0,0,-994.0594,837.565,6.2425494,0.0,-143.78049,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.13562,125.32825,100,0,0,0,0,,2.0,1,828.5593,-65.30347,-100.42676,0.9901428,171.24356,100,0,0,1,0,,2.0,0,,,
1066,-351.48022,-190.58081,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1384.6724,447.0904,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.4608,1832.7767,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.247986,-167.38289,100,0,0,0,0,,1,2,-350.42792,-341.69696,0.25914097,-2.012909,63.302185,100,0,0,1,0,,2.0,0,-1019.05927,282.2388,-22.96875,28.627625,23.755875,100,0,0,0,0,,1.0,0,-995.6869,838.5705,5.956765,-0.059387207,-143.52333,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.13562,125.300446,100,0,0,0,0,,2.0,1,829.76434,-65.408325,-100.35687,0.9901428,171.26346,100,0,0,1,0,,2.0,0,,,
1067,-350.8064,-189.93976,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1384.8735,447.19632,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.4608,1832.7767,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.216064,-167.38289,100,0,0,0,0,,1,2,-350.28802,-341.76733,0.25914836,-2.012909,63.302185,100,0,0,1,0,,2.0,0,-1017.13934,281.89774,-22.96875,28.682556,23.508331,100,0,0,0,0,,1.0,0,-997.2873,839.63385,5.710009,-0.1980896,-143.02826,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.1078186,125.300446,100,0,0,0,0,,2.0,1,830.9182,-65.19104,-100.50177,0.9901428,171.26346,100,0,0,1,0,,2.0,0,,,
1068,-350.43945,-189.59094,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1385.2639,447.41544,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.4608,1832.7767,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.216064,-167.38289,100,0,0,0,0,,1,2,-350.13684,-341.84338,0.259156,-2.012909,63.302185,100,0,0,1,0,,2.0,0,-1015.22577,281.52264,-22.96875,28.710022,23.398468,100,0,0,0,0,,1.0,0,-998.90247,840.67993,5.4485416,-0.37628174,-142.45389,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.080002,125.27228,100,0,0,0,0,,2.0,1,832.0131,-64.62561,-100.87872,0.9901428,171.26346,100,0,0,1,0,,2.0,0,,,
1069,-350.37964,-189.53412,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1385.5923,447.59985,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.4608,1832.7767,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.216064,-167.38289,100,0,0,0,0,,1,2,-349.9745,-341.92505,0.25916362,-2.012909,63.302185,100,0,0,1,0,,2.0,0,-1013.31854,281.1165,-22.96875,28.710022,23.398468,100,0,0,0,0,,1.0,0,-1000.559,841.6636,5.139365,-0.51498413,-142.01855,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,7.024048,125.24448,100,0,0,0,0,,2.0,1,833.06683,-63.788025,-101.43713,0.9901428,171.26346,100,0,0,1,0,,2.0,0,,,
1070,-350.59937,-189.7431,0.26654434,-1.028595,43.56079,100,0,0,0,0,,2.0,1,511.7559,1244.0312,-31.96875,-3.67836,-172.07817,100,0,0,1,0,,7,0,1385.7312,447.67615,0.031251907,18.245209,119.90753,100,0,0,1,0,,2.0,1,1662.4608,1832.7767,-68.982056,3.8280487,-99.47056,100,0,0,1,0,,1,0,1248.9614,1482.5883,-143.63916,-15.216064,-167.38289,100,0,0,0,0,,1,2,-349.80084,-342.01233,0.25917125,-2.012909,63.335144,100,0,0,1,0,,2.0,0,-1011.40796,280.80942,-22.96875,28.710022,23.398468,100,0,0,0,0,,1.0,0,-1002.262,842.5754,4.7758346,-0.69317627,-141.50357,100,0,0,1,0,,7.0,0,-988.5914,-629.4577,70.03125,6.940277,125.18854,100,0,0,0,0,,2.0,1,834.0833,-62.69983,-102.16254,0.9702301,171.32288,100,0,0,1,0,,2.0,0,,,
